H,1.0,1.0
He,18.0,1.0
Li,1.0,2.0
Be,2.0,2.0
B,13.0,2.0
C,14.0,2.0
N,15.0,2.0
O,16.0,2.0
F,17.0,2.0
Ne,18.0,2.0
Na,1.0,3.0
Mg,2.0,3.0
Al,13.0,3.0
Si,14.0,3.0
P,15.0,3.0
S,16.0,3.0
Cl,17.0,3.0
Ar,18.0,3.0
K,1.0,4.0
Ca,2.0,4.0
Sc,3.0,4.0
Ti,4.0,4.0
V,5.0,4.0
Cr,6.0,4.0
Mn,7.0,4.0
Fe,8.0,4.0
Co,9.0,4.0
Ni,10.0,4.0
Cu,11.0,4.0
Zn,12.0,4.0
Ga,13.0,4.0
Ge,14.0,4.0
As,15.0,4.0
Se,16.0,4.0
Br,17.0,4.0
Kr,18.0,4.0
Rb,1.0,5.0
Sr,2.0,5.0
Y,3.0,5.0
Zr,4.0,5.0
Nb,5.0,5.0
Mo,6.0,5.0
Tc,7.0,5.0
Ru,8.0,5.0
Rh,9.0,5.0
Pd,10.0,5.0
Ag,11.0,5.0
Cd,12.0,5.0
In,13.0,5.0
Sn,14.0,5.0
Sb,15.0,5.0
Te,16.0,5.0
I,17.0,5.0
Xe,18.0,5.0
Cs,1.0,5.0
Ba,2.0,6.0
La,3.0,8.0
Ce,3.0,8.0
Pr,3.0,8.0
Nd,3.0,8.0
Pm,3.0,8.0
Sm,3.0,8.0
Eu,3.0,8.0
Gd,3.0,8.0
Tb,3.0,8.0
Dy,3.0,8.0
Ho,3.0,8.0
Er,3.0,8.0
Tm,3.0,8.0
Yb,3.0,8.0
Lu,3.0,8.0
Hf,4.0,6.0
Ta,5.0,6.0
W,6.0,6.0
Re,7.0,6.0
Os,8.0,6.0
Ir,9.0,6.0
Pt,10.0,6.0
Au,11.0,6.0
Hg,12.0,6.0
Tl,13.0,6.0
Pb,14.0,6.0
Bi,15.0,6.0
Po,16.0,6.0
At,17.0,6.0
Rn,18.0,6.0
Fr,1.0,7.0
Ra,2.0,7.0
Ac,3.0,9.0
Th,3.0,9.0
Pa,3.0,9.0
U,3.0,9.0
Np,3.0,9.0
Pu,3.0,9.0
Am,3.0,9.0
Cm,3.0,9.0
Bk,3.0,9.0
Cf,3.0,9.0
Es,3.0,9.0
Fm,3.0,9.0
Md,3.0,9.0
No,3.0,9.0
Lr,3.0,9.0
